name,activation,target,area,duration,range,savetype,onsave,school,description,level,icon
DEVASTATING RUSH,standard,One creature or object,,Instant,Melee attack,,,Primal Fury (Strike),"The disciple performing this attack executes a
powerful attack that rushes in past a foes defenses
to shatter them completely. The initiator inflicts an
additional 2d6 points of damage upon a successful
attack and his strike ignores the damage reduction of
a subject or the hardness of an object he is attacking.",2,icons/svg/blood.svg
MOMENTUM CRASH,swift,One attack,,Instant,Personal,,,Primal Fury (Boost),"By putting his fury into a charging attack, the
disciple is capable of using the momentum of his
charge to increase his killing power with a twist
of his body upon connecting. Upon a successful
charge attack, the initiators charge attack inflicts
an additional 10 points of damage in addition to the
normal +2 to hit.",2,icons/svg/blood.svg
RAGING HUNTER POUNCE,full,One creature,,Instant,Melee attack,,,Primal Fury (Strike),"With the ferocity of a raging great cat, the disciple of
Primal Fury provides the very real fear that users of
this discipline are known to inspire with their reckless
assault techniques of offense over all. The initiator
makes a charge attack and makes a full attack at the
end of the charge against the target creature. He must
focus all of these attacks against a single target, and if
the target is brought to 0 or fewer hit points, then any
remaining attacks are lost as the initiator savages the
foes body with the remaining attacks.
BLADE-BREAKING COUNTER
Discipline: Primal Fury (Counter)
Level: 3
Prerequisites: One Primal Fury maneuver
Initiation Action: 1 immediate action
Range: Personal
Target: You
Duration: Instant
An opponent cannot hurt you with his weapon if
a weapon does not exist to do it. The Primal Fury
disciple takes this to heart with a powerful parrying
blow designed to shatter the weapon that his opponent
uses before it can strike him. When being attacked,
this counter is initiated after a successful hit but
before damage is inflicted. The initiator then makes
an immediate sunder attempt with a +2 circumstance
bonus on his foes weapon (which does not provoke
attacks of opportunity), and if the weapon is reduced
to half of its hit points, then it gains the broken
condition and the disciple takes half damage from the
attack. If this sunder attempt reduces the opponents
weapon to 0 hit points, then the weapon shatters and
the disciple takes no damage. If the initiator possesses
the Greater Sunder feat, excess damage is applied to
the target as per normal.",2,icons/svg/blood.svg
DISPARITY BLOW,standard,One creature,,Instant,Melee attack,,,Primal Fury (Strike),"With a powerful upswing, the Primal Fury disciple
brings his weapon in low and with his attack drives
his opponent to the ground as he raises it high to show
his superiority. The initiator makes a melee attack
and if successful, inflicts an additional 2d6 points
of damage and may make an immediate trip attack
against the target with a +4 circumstance bonus. This
trip attempt does not provoke attacks of opportunity.",3,icons/svg/blood.svg
FRENZY STRIKE,standard,One creature,,Instant,Melee attack,,,Primal Fury (Strike),"By emulating the ferocious assault of a raging great
cat, the disciples knowledge of the natural world and
the way its predators operate assists him in combat
with a furious set of attacks. The initiator makes one
attack with each weapon he has wielded (or with
both heads of a double weapon; this includes natural
attacks and armor or shield spikes) at his full base
attack bonus. Upon a each successful attack, the
initiator inflicts an additional 2d6 points of damage.",3,icons/svg/blood.svg
FURIOUS PRIMAL WRATH,standard,One creature,,Instant,Melee attack,,,Primal Fury (Strike),"The disciples attacks grow strong with practiced
fury and primal power, forgoing accuracy for pure
deadly force. The initiator suffers a -4 penalty
to his attack roll, and makes an attack against a
target creature. If successful, this attack inflicts an
additional 20 points of damage, or 35 if the weapon is
wielded in two hands.",4,icons/svg/blood.svg
IMPALING STRIKE,standard,One creature,,Instant,Melee attack,Fortitude,partial,Primal Fury (Strike),"Saving Throw: Fortitude partial
The disciple who has reached this level of mastery
in the art of Primal Fury has learned that by
striking to a foes heart and center with a singular
but powerful blow, it causes the foes ability to
withstand punishment to falter. The initiator makes
an attack against his target and if successful, inflicts
an additional 4d6 points of damage to this attack
which ignores damage reduction. The target must
make a Fortitude save (DC 14 + primary initiation
modifier) or suffer an additional 1d4 points of
Constitution damage from being hit in a vital area.
Targets immune to critical hits are not subject to
this Constitution damage.",4,icons/svg/blood.svg
MOMENTUM CRUSH,swift,You,,Instant,Personal,,,Primal Fury (Boost),"With a powerful overhand flourish at the end
of his charge, the disciple is capable of delivering
additional force to his already devastating charges.
The initiator makes a charge attack against a target
foe and if successful, he may spend a swift action to
add an addition 20 points of damage to that single
attack and ignores the targets damage reduction.",4,icons/svg/blood.svg
SHRUG IT OFF,immediate,You,,Instant,Personal,,,Primal Fury (Counter),"By relying on his instincts to protect him in the
theater of war, the disciple twists and dodges to
escape injury in the same manner as an animal can
sense danger before it strikes. The initiator makes an
opposed Survival check against the attackers melee
or ranged attack roll, including spells or supernatural
effects. If the initiators Survival check equals or
exceeds the attack roll, then the attack is negated.",4,icons/svg/blood.svg
CORNERED FRENZY STRIKE,full,One creature,,Instant,Melee attack,,,Primal Fury (Strike),"As an animal cornered lashes out at all comers, so
does the Primal Fury disciple when he finds himself
surrounded. By using his intuition and striking
where he feels a foe to be, he uses his instincts as a
powerful weapon. As a full attack action, the initiator
makes an attack roll at full base attack bonus against
each target within his reach with each weapon he is
currently wielding (including natural attacks; armor
and shield spikes always count as wielded weapons),
and each successful attack inflicts an additional 4d6
points of damage. After initiating this maneuver, the
initiators focus on offense causes his AC to suffer a -2
penalty until his next turn.",5,icons/svg/blood.svg
DIZZYING BLOW,1 full around action,One creature,,Instant,Melee attack,Fortitude,partial,Primal Fury (Strike),"Saving Throw: Fortitude partial
The disciple of the Primal Fury rockets across the
battlefield to unleash a powerful strike to the vitals
of his foe, leaving him agonized and sick with pain.
The initiator makes a charge attack against a target
creature, if successful the attack inflicts an additional
10d6 points of damage and the target must make a
Fortitude save (DC 15 + initiation modifier) or be
nauseated for 1d4 rounds.",5,icons/svg/blood.svg
LIGHTNING STEP,swift,You,,Instant,Personal,,,Primal Fury (Boost),"Once a great cat has found its prey, the light-footed
and graceful cat is capable of nearly ignoring hazards
in his path to run it down. The disciple has learned
this and is capable of negotiating a battlefield with
ease. As a swift action the initiator may make one
turn of up to 90 degrees mid-charge and ignore
terrain difficulties along his charge path.",5,icons/svg/blood.svg
METEORIC COLLISION,full,One creature,,Instant,Melee attack,,,Primal Fury (Strike),"The disciple makes a charge at an opponent within
the theater of war with the power and force of a falling
meteor, striking hard and bowling his opponent
over. The initiator makes a bull rush attempt as
part of a charge with a +4 bonus, and if the initiator
successfully bull rushes his opponent, the fury of his
strike inflicts 7d6 points of damage to his target as
he bull rushes him. This bull rush attempt does not
provoke attacks of opportunity.",5,icons/svg/blood.svg
BLADE OF FURY,swift,One creature,,Instant,Melee attack,,,Primal Fury (Boost),"The disciple taps into hidden reserves of fury within
himself to pour his all into this strike. The initiator
expends a swift action to use this boost as part of a
charge attack, adding twice his initiator level to the
damage roll as a circumstance bonus.",6,icons/svg/blood.svg
CHARGE OF THE BATTLE PANTHERA,full,One creature,,Instant,Melee attack,Reflex,partial,Primal Fury (Strike),"Saving Throw: Reflex partial
With a running start that ends in a blood-drenched
finish, the disciple mimics the final moments of the
hunting great cat as he delivers the death blow to his
prey. The initiator makes a charge attack against a
target, and if successful he inflicts an additional 12d6
points of damage and the target must make a Reflex
save (DC 16 + initiation modifier) or be knocked prone.
SHIELD-BREAKING STRIKE
Discipline: Primal Fury (Strike)
Level: 6
Prerequisites: Two Primal Fury maneuvers
Initiation Action: 1 standard action
Range: Melee attack
Target: One creature
Duration: Instant
By removing the protection of his prey, the disciple
of Primal Fury shreds leather and metal equally as a
great cats claws would tear animal hide. The initiator
makes an attack against a foe and if successful,
inflicts damage as normal to the target and inflicts
the broken condition on a target piece or suit armor
or shield and imposes a -4 penalty to their armor
or shield bonus (not to exceed the total armor or
shield bonus) until the item is repaired. If the item
is magical, this maneuver is resolved as a normal
sunder attempt as a free action as part of the strike
(which does not provoke attacks of opportunity) and
the initiator gains a +2 bonus to his CMB check for
this attempt.",6,icons/svg/blood.svg
DEVASTATING MOMENTUM,swift,One creature,,Instant,Melee attack,Fortitude,partial,Primal Fury (Boost),"Saving Throw: Fortitude partial
The charging Primal Fury disciple throws his full
weight and momentum behind a blow, showing all
who see it who the most powerful combatant on
the field of battle truly is. Upon making a successful
charge attack, the initiator may add an additional 40
points of damage to the attack as a swift action, and
this attack ignores the targets damage reduction.
Additionally, the target must make a successful
Fortitude save (DC 17 + initiation modifier) to resist
being stunned for 1 round (this effect does not stack
with a maneuver that also has the potential to daze
or stun an opponent; the initiator must choose which
effect to use).",7,icons/svg/blood.svg
PRIMAL FRENZY,standard,One creature,,Instant,Melee attack,,,Primal Fury (Strike),"The disciple becomes a whirling dervish of hellish
weapon blows as he descends into a blood-drenched
frenzy of strikes against his surrounding foes, relying
on his killer instincts to see him through the fight. As
a full attack action, the initiator makes an attack roll
at full base attack bonus against each target within
his reach with each weapon he is currently wielding
(including natural attacks and armor or shield spikes),
and each successful attack inflicts an additional 6d6
points of damage. After initiating this maneuver, the
initiators focus on offense causes his AC to suffer a -2
penalty until his next turn.",7,icons/svg/blood.svg
METEORIC CRASH,full,One creature,,Instant,Melee attack,Reflex,partial,Primal Fury (Strike),"Saving Throw: Reflex partial
By rushing at a foe like a blazing comet through
the sky, the Primal Fury disciple crashes through
an opponent to sculpt the battlefield into a field of
carnage. The initiator makes a bull rush attempt as
part of a charge with a +4 bonus (this bonus stacks with
the +2 bonus from making a charge); if successful, the
initiator inflicts 10d6 points of damage to the target as
part of the bull rush and if the target is pushed back
more than 10-ft., they are knocked prone on a failed
Reflex save (DC 18 + initiation modifier) and he may
make an immediate attack of opportunity against his
prone foe. In initiator must be able to follow or reach
the target to make this attack of opportunity.",8,icons/svg/blood.svg
UNBREAKABLE PANTHERA GUARD,immediate,You,,Instant,Personal,,,Primal Fury (Counter),"In the flow of battle, a master of the Primal Fury
discipline finds nothing more invigorating than a
near miss that was avoided through sheer instinct.
The initiator makes an opposed Survival check
against an opponents attack roll which if successful
the initiator negates the attack and gains a number
of temporary hit points equal to twice the disciples
initiator level for one minute.",8,icons/svg/blood.svg
WRATH OF THE PRIMAL HUNTER,full,One creature,,Instant,Melee attack,,,Primal Fury (Strike),"The true master of Primal Fury art is the disciple
who brings the full ferocity of this discipline against
a foe with a titanic charge that ends with ringing iron
and spraying blood as his weapons do their deadly
work. The initiator performs a charge attack against
his foe, and makes a full attack at the end of this charge
attempt. Each successful attack ignores damage
reduction and the initiator may add an additional 4d6
points of damage to each attacks damage roll.",9,icons/svg/blood.svg
BLADE OF BREAKING,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"A Scarlet Throne disciple knows that sometimes
to defeat the beast, you must remove its claws.
By clashing blades with a foe to set their weapon
vibrating, the disciple then delivers a final smashing
blow in an attempt to shatter it or knock it from their
grasp. The disciple may make a disarm or sunder
attempt with a +4 competence bonus against his foes
weapon without provoking attacks of opportunity.",1,icons/svg/castle.svg
PRINCES ATTITUDE,swift,You,,One round,Personal,,,Scarlet Throne (Boost),"The Scarlet Throne disciple knows that he is nobility
in the savagery of war, and conducts himself as such
when moving through melee. The initiator gains a
+4 dodge bonus to his Armor Class when he moves
through threatened areas and provokes attacks of
opportunity and a +2 competence bonus to Reflex
and Will saves until his next turn.",1,icons/svg/castle.svg
RED ZEPHYRS STRIKE,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"With swiftness born of skill, a disciple of the Scarlet
Throne learns how to move through the battlefield as
lord among warriors. The disciple makes an attack
against a foe, and if successful, he may make an
immediate 10-ft. movement which does not provoke
attacks of opportunity.",1,icons/svg/castle.svg
SCYTHING STRIKE,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"The principles of the Scarlet Throne teach its
disciples that every swing must be made with
precision and excellence; no movement is wasted and
no attack should be fruitless. The disciple may make a
single attack against two adjacent enemies using the
same attack roll and applying it to each target.",1,icons/svg/castle.svg
GARNET LANCE,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"With a sudden and powerful thrust, the disciple
penetrates the defenses of his foe with devastating
alacrity. The initiator makes a melee attack against
a target creature, and if successful the attack inflicts
an additional 2d6 points of damage and the attack
automatically bypasses the targets damage reduction.",2,icons/svg/castle.svg
REGAL BLADE,swift,You,,Instant,Personal,,,Scarlet Throne (Boost),"A disciple of the Scarlet Throne learns that in
moments of precise focus, a single stroke of the
blade can fell a potent enemy. The disciple may add
a +2 insight bonus to his attack roll and +1d8 insight
bonus to his damage roll on a single melee attack
made during this turn.",2,icons/svg/castle.svg
RISING ZENITH STRIKE,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"With supreme focus, comes great insight into the
workings of a foes defenses. When the moment
is right, the disciple releases his attack in a vicious
upward swing. The disciple makes a Sense Motive
check in place of his normal attack roll (he may add
any enhancement bonus from his weapon or feats
that apply from the use of his weapon to this Sense
Motive check as well), and if this Sense Motive check
equals or exceeds the targets armor class, the attack
deals double damage. If this check does not meet or
exceed the targets armor class, then the attack fails
and the disciple misses.",2,icons/svg/castle.svg
SANGUINE BARRIER,immediate,You,,Instant,Personal,,,Scarlet Throne (Counter),"The focus required in battle allows the disciple to
anticipate incoming attacks. The disciple makes a
Sense Motive check and add a +2 competence bonus
to the roll, opposing a single melee or non-spell or
spell-like ability ranged attack. If successful, the
disciple negates the attack.",2,icons/svg/castle.svg
DAZING ATTACK,standard,One creature,,"Instant, or one round",Melee attack,Fortitude,partial,Scarlet Throne (Strike),"Saving Throw: Fortitude partial
The swiftness of the Scarlet Throne disciples blade
is a thing of terrific power, and by initiating this strike
he demonstrates this potency. The disciple makes
a melee attack against a target which if successful
inflicts an additional 3d6 points of damage and upon
a failed Fortitude save (DC 13 + initiation modifier)
dazes the opponent for one round.",3,icons/svg/castle.svg
SCARLET EYES PERCEPTION,swift,You,,Instant,Personal,,,Scarlet Throne (Boost),"By watching his opponents defenses and waiting for
the hole in them to open, the Scarlet Throne disciple
strikes with the speed of the gods. The initiators next
melee attack against that target is resolved as a touch
attack.",3,icons/svg/castle.svg
STRIKE OF DEFEAT,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"‘A dead foe is a foe that can trouble you no more,
is an old adage of the Scarlet Throne disciple. An
injured foe is easy prey, but is still a foe nonetheless.
By utilizing this swift executioners strike, the Scarlet
Throne disciple removes a potential threat and
obstacle from his path. The disciple makes an attack
against a foe which if successful deals additional
damage determined by the state of the enemys hit
points. If the enemy has more than 75% of his total
hit points, this strike does no additional damage. If
the foe has less than 75% hit points, this strike inflicts
an additional 4d6 points of damage. If the foe has less
than 25% of his total hit points, this strike inflicts an
additional 8d6 points of damage.",3,icons/svg/castle.svg
NOBLE BLADE,swift,You,,One round,Personal,,,Scarlet Throne (Boost),"Scarlet Throne practitioners who know the Noble
Blade may use their battle focus to add additional
force to their strikes. The disciple may add a +5 insight
bonus to his attack roll and +2d8 insight bonus to his
damage roll on a single melee attack made during
this turn.",4,icons/svg/castle.svg
RED ZEPHYRS DANCE,full,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"The Red Zephyrs Dance allows the disciple to step
confidently through a battlefield, his blade leading
the way in decisive sweeps as a graceful as a ballroom
dance. The disciple makes a melee attack at his full
attack bonus against a target, and if successful, the
disciple moves 10-ft. (no more or no less) and may
make another attack at his next highest attack bonus.
He may not make more attacks in a round than his
maximum main-hand number of attacks, nor may he
move farther than his normal maximum speed. For
example, if a warlord with a base attack bonus of +13
initiated this maneuver, he would make one attack at
+13, move 10-ft., make his second attack at +8, then
move 10-ft. again, and make a final attack at +3.",4,icons/svg/castle.svg
SANGUINE PERSEVERANCE,immediate,You,,Instant,Personal,,,Scarlet Throne (Counter),"The focus of battle that a disciple of Scarlet Throne
has allows him to react to danger before he actively
knows it is present, his senses acknowledging peril
before his mind would know of it. A disciple may
initiate this counter when required to make a saving
throw. The disciple makes a Sense Motive check and
uses the result of this check in place of his normal
saving throw.",4,icons/svg/castle.svg
WEEPING SCARLET RAZOR,standard,One creature,,Special,Melee attack,,,Scarlet Throne (Strike),"Even the basest common soldier knows that there
are places on a mans body where if he were to be
stabbed, then he would bleed out in minutes. The
Scarlet Throne disciple takes this knowledge and arms
himself with his superior skill to utilize this arterial
strike against his foes. The initiator makes a melee
attack against a target creature, and if successful, this
attack inflicts an additional 4d6 points of damage and
the target begins to bleed profusely, inflicting 4 points
of bleed damage per round until a successful Heal
check (DC 20) or a spell or effect that cures hit point
damage has been administered to the target.",4,icons/svg/castle.svg
RIDDLE OF IRON,standard,One creature,,Instant,Melee attack,Fortitude,partial,Scarlet Throne (Strike),"Saving Throw: Fortitude partial
With a flourishing of his blade, the Scarlet Throne
disciple confuses the senses of his foe as he lands a
strike from an unexpected angle. The initiator must
make a melee attack against a foe, and if successful
the strike inflicts an additional 5d6 points of damage
and dazes the target for one round on a failed Will
save (DC 15 + initiation modifier).",5,icons/svg/castle.svg
RUBY ZENITH STRIKE,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"The focus of battle teaches that in a single hairs
breadth of time, a warrior may strike down a foe in a
single blow. The disciple makes a Sense Motive check
in place of his normal attack roll (he may add any
enhancement bonus from his weapon or feats that
apply from the use of his weapon to this Sense Motive
check as well), and if this Sense Motive check equals
or exceeds the targets armor class, the attack deals
triple damage. If this check does not meet or exceed
the targets armor class, then the attack fails and the
disciple misses.",5,icons/svg/castle.svg
SANGUINE PERFECTION,immediate,You,,A number of rounds equal to initiation,Personal,,,Scarlet Throne (Counter),"modifier
The supreme clarity of mind and focus of form
allows a disciple of Scarlet Throne to simply
overcome any obstacle placed before him, albeit for
the short term. The disciple calls upon his supreme
will and focus and may delay or stop a number of
negative conditions placed upon him through the use
of this maneuver for a number of rounds equal to
the disciples initiation modifier. Conditions that are
subjected to this maneuver are: blinded, confused,
cowering, dazed, dazzled, deafened, disabled, dying
(though he still suffers hit point damage each round),
energy drained, exhausted, fascinated, fatigued,
frightened, helpless, nauseated, panicked, paralyzed,
petrified, shaken, sickened, staggered, stunned, or
unconscious. If the condition has a duration that
would expire before the use of this maneuver, then
the effect is negated. If the effect would have continue
to have effect after the duration of this maneuver
expires, then the subject suffers the remaining
duration of that effect as normal after the maneuver
ends.",5,icons/svg/castle.svg
SCARLET RIPOSTE,immediate,One attack,,Instant,Personal,,,Scarlet Throne (Counter),"Within the focus of the disciples mind, pathways
to victory form which he uses to sculpt and mold
the outcome of the battle. When an enemys attack
threatens to unravel these pathways, a supreme act
of will can restore order to them. The disciple makes
a Sense Motive check with a +4 competence bonus
opposing his enemys melee attack roll. If successful,
the attack is blocked and he may make an immediate
counter attack against that opponent at his full attack
bonus and inflict an additional 3d6 points of damage.",5,icons/svg/castle.svg
BLADE OF PERFECTION,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"In an instant of perfect clarity, the disciple finds
his moment to strike true. The disciple simply strikes
the opponent with deadly swiftness, penetrating
defenses as if they were not even there. This attack
automatically hits its target and ignores damage
reduction. For the purposes of counters that have
systems that oppose an attack roll, treat this attack as
if the disciple had rolled a natural 20.",6,icons/svg/castle.svg
FINAL BLOW,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"Mercy has a place on the battlefield, a disciple of
Scarlet Throne understands, as does the benefit of
an honorable and swift death. By showing his enemy
a merciful, swift death in battle, the disciple may
continue to his next victory while letting both keep
their honor. The disciple makes a melee attack against
an injured foe, and if the attack is successful and
the foe is under 25% of his maximum hit points, the
attack is treated as a coup de grace that is performed
as part of that attack action instead of the full round
action usually required. This does not provoke
attacks of opportunity. The attack does damage as a
critical hit, and the foe must make a Fortitude save
with a DC equal to 10 + the damage inflicted or die. If
the foe is above 25% of his maximum hit points, then
this maneuver has no effect and normal damage is
rolled. Disciples with this maneuver readied have a
keen sense of their enemys condition, and may make
a Sense Motive check as a free action (DC 20) to gauge
if their opponent is eligible to be finished by this
maneuver.",6,icons/svg/castle.svg
RED ZEPHYRS FLEETNESS,swift,You,,One round,Personal,,,Scarlet Throne (Boost),"The combat focus of a Scarlet Throne disciple
lends itself to the analogy of the coiled spring; when
necessary, the spring can rapidly unfold and launch
with incredible celerity. With this principle adapted
to the royal court of battle, the disciple may launch
himself with alacrity across the field. The disciple
may add 30 ft. to his base speed until his next turn,
and his opponents suffer a 50% miss chance when
attacking him due to his incredible speed.",6,icons/svg/castle.svg
ROYAL BLADE,swift,You,,One round,Personal,Will,save negates,Scarlet Throne (Boost),"Saving Throw: Will save negates
As a true king of battle, the disciple brings his
mastery of Scarlet Throne to the battlefield to the
despair of his foes. By initiating this maneuver, his
show of majestic force proves his claim to power. The
disciple may add a +5 insight bonus to his attack roll
and +5d8 insight bonus to his damage roll on a single
melee attack made during this turn. Additionally
targets whove been struck by an attack augmented
with this boost must make a Will save (DC 17 +
initiation modifier) or be left cowering for 1 round.",7,icons/svg/castle.svg
RUBY BATTLE LORDS STRIKE,full,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"Perfection in combat is the true goal of any disciple
of Scarlet Throne, and to become a true master of this
discipline is to know how to strike perfectly with each
and every attack. The disciple initiating Ruby Battle
Lords Strike must make a full attack against a target,
each attack using his full base attack bonus with a +2
insight bonus instead of the normal -5 reduction of
each consecutive attacks (i.e. an initiator with a base
attack bonus of +16, who normally has four attacks
in a full attack action, would make each attack using
this maneuver using his full +16 base attack bonus
with a +2 insight bonus in addition).",7,icons/svg/castle.svg
SANGUINE PROCLAMATION,standard,One creature,,Instant,Melee attack,Will,negates,Scarlet Throne (Strike) [Mind Affecting],"Saving Throw: Will negates
With a mighty overhand swing the Scarlet Throne
disciple puts his foe in their place; on their knees
before the majesty of a prince of warriors. The
initiator must make a melee attack against a target
creature which if successful inflicts an additional
10d6 points of damage and the target must make a
successful Will save (DC 17 + initiation modifier) to
resist being driven to its knees, knocked prone.",7,icons/svg/castle.svg
DESCENDING SUNSET STRIKE,standard,One creature,,Instant,Melee attack,,,Scarlet Throne (Strike),"With a downward swing of his blade, the Scarlet
Throne adapt proves his mastery of the discipline by
shattering the will of the enemy to fight. The disciple
makes a Sense Motive check in place of his normal
attack roll (he may add any enhancement bonus
from his weapon or feats that apply from the use of
his weapon to this Sense Motive check as well), and if
this Sense Motive check equals or exceeds the targets
armor class, the attack deals quadruple damage. If
this check does not meet or exceed the targets armor
class, then the attack fails and the disciple misses.",8,icons/svg/castle.svg
RIDDLE OF STEEL,standard,One creature,,Instant,Melee attack,Will,partial,Scarlet Throne (Strike),"Saving Throw: Will partial
With a swift and deadly strike, the disciple is
capable of disabling a foes senses for a few moments,
effectively eliminating the threat. The disciple
makes a melee attack against his opponent which if
successful deals an additional 10d6 points of damage
and stuns his opponent for 1d4 rounds on a failed
Will save (DC 18 + initiation modifier).",8,icons/svg/castle.svg
HEAVENLY BLADE OF THE SCARLET THRONE,standard,One creature,,Instant,Melee attack,Will,partial,Scarlet Throne (Strike),"Saving Throw: Will partial
The supreme technique of the Scarlet Throne, the
disciple who knows of it is the lord of all battlefields
and marks his name amongst the legends of war. The
disciple makes a melee attack which if successful
inflicts an additional 100 points of damage. The
target must then make a Will save (DC 19 + initiation
modifier) to resist becoming paralyzed for 1d4 rounds.",9,icons/svg/castle.svg
CRANE STEP,swift,You,,Instant,Personal,,,Silver Crane (Boost) [Good],"The grace of the Silver Crane blesses the initiator
with the ability to step through battle unhindered
and unharmed. The initiator makes a free 5-ft step,
even if he has already made one.",1,icons/svg/wing.svg
ENDURING CRANE STRIKE,standard,Target creature(s),,Instance,Melee attack,,,Silver Crane (Strike) [Good],"Making his soul a wellspring of holy power, the
disciple strikes out at a foe to unleashed his holy
power to restore health to himself or an ally. The
initiator makes an attack against a target creature,
inflicting damage as normal, and the strike restores
1d6 hit points plus his initiation modifier to the
initiator or to an ally within 30-ft.",1,icons/svg/wing.svg
FLASHING WINGS,standard,One creature,,1 round,Melee attack,,,Silver Crane (Strike) [Good],"The flashing wings of the Silver Crane daze the foes
of the martial disciple, burning their eyes with the
light of Heaven. Make a melee attack and if successful,
this attack inflicts an additional 1d4 points of damage
and the target is dazzled for one round.",1,icons/svg/wing.svg
SILVER STRIKE,standard,One creature,,Instant,Melee or ranged attack,,,Silver Crane (Strike) [Good],"Using the insight of the Heavens, the martial
disciple learns to read the tangles of fate to direct
their efforts in battle. The initiator makes two attack
rolls and uses the better of the two rolls to determine
result of the attack.",1,icons/svg/wing.svg
BLAZING CRANES WING,swift,You,,Until next turn,Personal,,,Silver Crane (Boost) [Good],"By filling the Silver Crane disciples weapon with
the strength of his celestial patrons, the warrior
funnels their righteous wrath against those that
are abominations in the eyes of all that is good.
The initiators attacks until his next turn inflict an
additional 2d6 points of damage against undead or
evil outsiders.",2,icons/svg/wing.svg
BLESSED PINIONS,standard,One creature,,,Melee or ranged attack,,,Silver Crane (Strike) [Good],,2,icons/svg/wing.svg
DEFENSIVE STEP,immediate,You,,,Personal,,,Silver Crane (Counter) [Good],,2,icons/svg/wing.svg
EMERALD DISPLACEMENT STRIKE,standard,One creature,,Initiation modifier rounds,Melee or ranged attack,Fortitude,negates,Silver Crane (Strike) [Good],"Saving Throw: Fortitude negates
Sight is imperative in arts of the hunting bird, and
a warrior learns that this holds true for his enemy.
An enemy that cannot see is an enemy who can be
defeated with greater ease. Make an attack and the
target must make a Fortitude save (DC 12 + initiation
modifier) or suffer a -4 penalty to Perception checks
and a 20% miss chance on all attack rolls for the
characters initiation modifier in rounds (minimum
of one round).",2,icons/svg/wing.svg
EXORCISM STRIKE,standard,One creature,,,Melee or ranged attack,Fortitude,partial,Silver Crane (Strike) [Good],,3,icons/svg/wing.svg
SILVER CRANES BLESSING,swift,You or ally,,Instant,Personal or 30-ft,,,Silver Crane (Boost) [Good],"By invoking the powers of his celestial patrons
upon successfully smiting an enemy of the heavens,
the holy power of the Silver Crane disciples patron
flows through him to restore the health of the vessel
or the ally of the vessel. Upon a successful attack, the
character may initiate this boost to heal himself or
an ally within 30-ft of 2d6 points of damage plus his
initiation modifier.",3,icons/svg/wing.svg
SILVER KNIGHTS BLADE,standard,One creature,,,Melee attack,,,Silver Crane (Strike) [Good],,3,icons/svg/wing.svg
SACRED PINIONS,standard,One creature,,,Melee or ranged attack,Fortitude,partial,Silver Crane (Strike) [Good],,4,icons/svg/wing.svg
SAPPHIRE DISPLACEMENT STRIKE,standard,One creature,,,Melee or ranged attack,Fortitude,negates,Silver Crane (Strike) [Good],,4,icons/svg/wing.svg
SILVER CRANES LEAP,swift,You,,,Personal,,,Silver Crane (Boost) [Good],,4,icons/svg/wing.svg
SILVER CRANE RESURGENCE,immediate,You or ally,,Instant,Personal or 30-ft,,,Silver Crane (Counter) [Good],"By invoking the power of his celestial patron, the
Silver Crane disciple may overcome the fell powers
and curses of his enemies and return to full fighting
ability. As an immediate action, the initiator may
grant himself or an ally within 30-ft of his position
the ability to re-roll a failed saving throw with a +4
sacred bonus.",4,icons/svg/wing.svg
ARGENT KNIGHTS BANNER,standard,Special,,Instant,Melee attack,,,Silver Crane (Strike) [Good],"Infusing his arms and weapon with the glory of the
Silver Cranes majesty, the martial disciple smites his
foe and radiates a banner of heavenly wings, which
explode with celestial light and power. Make a melee
attack that inflicts an additional 8d6 points of damage
and heals the initiator and all of his allies within 30-ft
for 4d6 points of damage.
EMERALD-TIPPED FEATHERS
Discipline: Silver Crane (Counter) [Good]
Level: 5
Prerequisites: 2 Silver Crane maneuvers
Initiation Action: 1 immediate action
Range: Personal
Target: You
Duration: One attack
A defensive technique of the Silver Crane calls for
the hardening of the channeled celestials essence
around the disciple to protect him from harm. This
essence often manifests in the form of a wing-like
shield of faintly green light, which grants you damage
reduction of 20/evil against a single attack.",5,icons/svg/wing.svg
SILVER CRANES SPIRAL,standard,Special,,Instant,Melee or ranged attack,,,Silver Crane (Strike) [Good],"Filling himself with the wrath of the heavens, the
Silver Crane disciple takes on a nimbus of glowing
wings and lashes out at all of his nearby enemies with
smiting strikes. The character makes a single attack at
his full attack bonus with a +2 insight bonus at each
adjacent enemy or enemy that is within the area he
threatens. Ranged attacks used with this maneuver
may only be used against opponents within the
weapons first range increment.",5,icons/svg/wing.svg
